code,name,manager,share_class,product_type,direct_sales,channel,status,status_note,source_url,purchase_limit_rmb,quota_scope,regular_investment,effective_date,source_mode,status_verified_at
000834,大成纳斯达克100ETF联接(QDII)A,大成基金,A,OTC,true,manager_direct,限制申购,基金管理人直销渠道单日单个基金账户限额100元；代销渠道限额10元,https://www.dcfund.com.cn/plat_files/upload/ann_upload/20260602/202606021780401593666.pdf,100,per_share,同额度,2026-06-04,official_notice,2026-08-12（北京时间）
006479,广发纳斯达克100ETF联接人民币(QDII)C,广发基金,C,OTC,true,manager_direct,限制申购,广发基金官方直销额度API于2026-08-16返回：个人及机构单日上限5元、起购1元；以当前直销页面/API为准,https://www.gffunds.com.cn/api/v1/funds/fund-person-limit.shtml?fundcode=006479,5,per_share,同额度,2026-08-16核验,official_direct,2026-08-16（北京时间）
008971,大成纳斯达克100ETF联接(QDII)C,大成基金,C,OTC,true,manager_direct,限制申购,基金管理人直销渠道单日单个基金账户限额100元；代销渠道限额10元,https://www.dcfund.com.cn/plat_files/upload/ann_upload/20260602/202606021780401593666.pdf,100,per_share,同额度,2026-06-04,official_notice,2026-08-12（北京时间）
012752,建信纳斯达克100指数(QDII)C人民币,建信基金,C,OTC,true,manager_direct,限制申购,建信基金2026-08-12直销公告：人民币C类单日单个基金账户申购/定投限额10000元,https://www.ccbfund.cn/resource/upload/notice/539001/202608120902/建信纳斯达克100指数型证券投资基金（QDII）在直销渠道暂停大额申购、定期定额投资公告.doc,10000,per_share,同额度,2026-08-13,official_notice,2026-08-16（北京时间）
012870,易方达纳斯达克100ETF联接(QDII-LOF)C(人民币),易方达基金,C,OTC,true,manager_direct,暂停申购,基金管理人网上直销页面显示停止申购,https://e.efunds.com.cn/cart/subscriptions?form=&fundCode=012870,,per_share,暂停,2026-08-12核验,official_direct,2026-08-12（北京时间）
014978,华安纳斯达克100ETF联接(QDII)C,华安基金,C,OTC,true,manager_direct,限制申购,基金管理人页面显示直销限额100元而代销限额10元,https://www.huaan.com.cn/funds/014978/index.shtml,100,per_share,同额度,2026-08-16核验,official_direct,2026-08-16（北京时间）
015299,华夏纳斯达克100ETF发起式联接(QDII)A,华夏基金,A,OTC,true,manager_direct,暂停申购,基金管理人直销电子交易平台暂停人民币份额申购,https://fund.chinaamc.com/upload/resources/file/2026/08/07/12aa88c189214ed9b660755e4cd5bf35.pdf,,per_share,暂停,2026-08-10,official_notice,2026-08-12（北京时间）
015300,华夏纳斯达克100ETF发起式联接(QDII)C,华夏基金,C,OTC,true,manager_direct,暂停申购,基金管理人直销电子交易平台暂停人民币份额申购,https://fund.chinaamc.com/upload/resources/file/2026/08/07/12aa88c189214ed9b660755e4cd5bf35.pdf,,per_share,暂停,2026-08-10,official_notice,2026-08-12（北京时间）
016055,博时纳斯达克100ETF发起式联接(QDII)A人民币,博时基金,A,OTC,true,manager_direct,暂停申购,博时基金官方产品页当前显示暂停申购,https://www.bosera.com/fund/016055.html,,per_share,暂停,2026-08-16核验,official_direct_html,2026-08-16（北京时间）
016057,博时纳斯达克100ETF发起式联接(QDII)C人民币,博时基金,C,OTC,true,manager_direct,暂停申购,博时基金官方产品页当前显示暂停申购,https://www.bosera.com/fund/016057.html,,per_share,暂停,2026-08-16核验,official_direct_html,2026-08-16（北京时间）
016452,南方纳斯达克100指数发起(QDII)A,南方基金,A,OTC,true,manager_direct,限制申购,人民币A类单日申购限额10元,https://www.southernfund.com/main/files/2026/07/08/015716542930.pdf,10,per_share,同额度,2026-07-09,official_notice,2026-08-12（北京时间）
016453,南方纳斯达克100指数发起(QDII)C,南方基金,C,OTC,true,manager_direct,限制申购,人民币C类单日申购限额10元,https://www.southernfund.com/main/files/2026/07/08/015716542930.pdf,10,per_share,同额度,2026-07-09,official_notice,2026-08-12（北京时间）
016532,嘉实纳斯达克100ETF发起联接(QDII)A人民币,嘉实基金,A,OTC,true,manager_direct,暂停申购,基金管理人当前额度表显示暂停申购和定投,https://www.jsfund.cn/main/a/20151216/191092.shtml,,per_share,暂停,2026-02-03,official_direct,2026-08-12（北京时间）
